4,5,dn,140893722,113.658509,1414.110756,3.1e-5,0.284146,0.001865,9.844643,0.241614,0.980668,0.7,0.737084,0.99,75.38,11.36,18.24,8.6,0.000825,0.8,0.9,11.36,127,9490,17,0.999849,0.000826,11.904598,90.11471,26.097324,32.974802,11.5872,4468.0,4.54813,0.01575674603174603,0.0,6900.01
0,2,dn,141186075,71.136647,1412.435915,1.5e-5,0.248978,0.000329,6.828016,-1.196701,-0.449632,1.14,1.09843,4.42,115.65,26.19,18.2,10.1,0.000326,3.6,3.4,18.2,144,9804,45,1.007448,0.000324,176.813869,296.267352,206.810939,198.816447,6.6418,6079.16,4.41343,0.005985714285714286,0.024691358024691357,4307.01
3,2,dn,141186075,146.419949,1488.541803,1.2e-5,0.21963,0.000423,6.49911,-1.951231,-1.495237,1.14,1.09843,9.74,105.98,10.72,28.22,9.8,0.000315,2.1,2.1,10.72,263,9599,23,1.008132,0.000312,175.244533,284.363918,189.104643,206.603247,6.6418,6079.16,4.41343,0.005132936507936508,0.0,4307.02
1,5,dc,141186075,7.214308,1331.995759,1.7e-5,0.303001,0.000116,6.667301,1.653416,1.837129,1.14,1.09843,1.04,45.83,-1.2,6.02,8.8,0.000337,3.2,3.1,-1.2,7,9543,447,0.998611,0.000338,460.374905,512.303304,465.281696,472.4952,6.6418,6079.16,4.41343,0.006824603174603174,0.0,4307.02
2,5,dc,141186075,137.883997,1482.287436,1.6e-5,0.758362,0.000496,12.996618,-4.586586,-4.536045,1.14,1.09843,2.53,138.29,52.67,56.62,12.2,0.000335,5.5,5.4,52.67,90,8792,72,1.012506,0.000331,169.564811,312.130962,226.512297,230.464471,6.6418,6079.16,4.41343,0.11281984126984121,0.0,4307.02
3,5,dc,141186075,11.417704,1341.209098,1.4e-5,0.216936,0.000167,6.209201,1.133597,1.927115,1.14,1.09843,1.08,45.84,1.87,15.87,8.0,0.000329,2.6,2.7,1.87,8,8629,223,1.000029,0.000329,235.669804,286.919817,242.948024,256.947458,6.6418,6079.16,4.41343,0.01022936507936508,0.0,4307.02
1,5,dn,141186075,61.740092,1359.007474,2.3e-5,0.339571,0.000746,14.291883,6.427284,6.556692,1.14,1.09843,2.62,196.75,33.16,11.84,13.3,0.000348,4.8,5.1,11.84,59,9707,55,1.004595,0.000346,130.823511,331.583823,167.994945,146.674688,6.6418,6079.16,4.41343,0.14764126984126982,0.06837606837606838,4307.01
2,5,dn,141186075,63.651152,1344.344151,2.3e-5,0.636512,0.000841,13.038986,10.772263,11.143139,1.14,1.09843,4.13,193.54,49.71,46.88,13.8,0.000342,1.5,1.7,46.88,38,9627,28,1.008474,0.000339,95.050369,291.926454,148.096657,145.259828,6.6418,6079.16,4.41343,0.004947619047619048,0.0,4307.02
3,5,dn,141186075,20.823016,1350.122699,2.0e-5,0.374814,0.000187,7.539556,1.720588,2.07563,1.14,1.09843,1.72,93.58,16.79,21.3,11.0,0.000337,4.7,4.8,16.79,20,9565,274,1.010258,0.000334,461.528851,560.71845,483.929047,488.440247,6.6418,6079.16,4.41343,0.009417857142857144,0.0,4307.02
0,2,dc,141527579,15.085856,1328.954557,8.5e-5,0.082972,0.001613,13.086256,7.098297,7.554509,0.469549,0.471842,1.18,160.03,20.54,13.08,12.3,0.000939,5.8,5.6,13.08,62,10507,63,1.000941,0.000938,68.392195,232.562119,93.077361,85.610737,12.1293,3526.0,4.76216,0.8925178571428574,0.7564102564102564,698.01
1,2,dc,141527579,26.494932,1370.927274,3.0e-5,0.132475,0.001192,6.860477,5.033464,5.074835,0.469549,0.471842,1.82,42.6,10.42,13.15,6.5,0.000936,1.0,1.0,10.42,114,10393,33,1.000494,0.000936,50.89398,96.993644,64.807688,67.537872,12.1293,3526.0,4.76216,0.006529761904761905,0.0,698.01
4,2,dc,141527579,55.415755,1363.975698,2.7e-5,0.38791,0.001976,8.510896,9.148499,10.090565,0.469549,0.471842,1.92,49.36,20.18,16.49,7.1,0.000929,0.2,0.2,16.49,86,9276,19,1.001347,0.000927,26.875179,79.183919,49.996779,46.310059,12.1293,3526.0,4.76216,0.001425,0.0,698.01
3,2,dn,141527579,79.55883,1370.917983,3.7e-5,0.477353,0.00188,8.41656,-2.46135,9.777029,0.469549,0.471842,1.83,75.58,22.72,33.1,9.0,0.000921,1.0,1.1,22.72,133,10129,17,1.002048,0.000919,21.966226,100.377944,47.523273,57.899213,12.1293,3526.0,4.76216,0.00036666666666666667,0.0,698.01
1,5,dc,141527579,79.629344,1370.958513,4.1e-5,0.437961,0.002834,10.424635,2.136156,4.92888,0.469549,0.471842,0.54,80.72,8.71,28.01,9.2,0.00098,-0.1,-0.1,8.71,96,10373,10,1.001811,0.000978,2.68014,85.704184,13.693853,32.994243,12.1293,3526.0,4.76216,0.015877777777777775,0.0,698.01
3,5,dc,141527579,88.175869,1449.633326,3.0e-5,0.484967,0.001106,7.245439,1.354501,2.888109,0.469549,0.471842,2.03,65.25,75.11,59.16,6.9,0.000966,1.1,1.3,59.16,59,10299,93,1.002988,0.000963,178.643962,248.429793,258.283644,242.333773,12.1293,3526.0,4.76216,0.006492857142857143,0.0,698.01
0,5,dn,141527579,125.289854,1484.371548,9.6e-5,0.25058,0.004383,16.042577,3.893328,7.731397,0.469549,0.471842,63.57,366.29,96.1,149.66,19.2,0.001038,5.9,7.6,96.1,108,10296,10,1.022412,0.001016,317.831399,686.42271,416.236781,469.797501,12.1293,3526.0,4.76216,0.06779920634920635,0.0,698.01
1,5,dn,141527579,134.107921,1370.851165,8.0e-5,0.268216,0.003238,12.668173,3.741427,4.903014,0.469549,0.471842,25.69,273.25,118.25,110.71,12.9,0.001002,3.5,3.8,110.71,113,10267,15,1.017965,0.000985,256.865685,532.819625,377.820606,370.280572,12.1293,3526.0,4.76216,0.037736111111111116,0.0,698.01
4,5,dn,141527579,55.861361,1361.439122,4.6e-5,0.41896,0.002826,12.833267,11.213125,11.23473,0.469549,0.471842,6.71,108.59,4.18,33.44,10.1,0.000963,0.4,0.4,4.18,39,10070,18,1.005902,0.000957,87.227988,198.706763,94.30104,123.563061,12.1293,3526.0,4.76216,0.002447619047619048,0.0,698.01
1,2,dc,141527965,53.088375,1358.929677,2.5e-5,0.265442,0.001356,9.480394,6.32516,6.933197,0.67,0.635812,1.61,51.62,18.42,11.85,7.6,0.000686,2.1,1.7,11.85,107,9075,22,1.001288,0.000685,27.404736,82.118548,48.916992,42.343042,11.546,4280.0,4.65749,0.00891031746031746,0.0,1216.01
2,2,dc,141527965,72.523947,1413.691172,2.0e-5,0.326358,0.000671,6.440491,-1.18856,-0.841028,0.67,0.635812,1.07,26.53,17.95,5.84,5.8,0.000684,1.3,1.4,5.84,155,9021,35,1.001525,0.000682,31.995343,62.076005,53.498543,41.39164,11.546,4280.0,4.65749,0.0015535714285714287,0.0,1216.01
3,2,dc,141527965,0.573383,1326.009046,2.0e-5,0.057338,0.000135,5.961735,2.356248,2.515993,0.67,0.635812,0.92,7.28,-9.04,3.26,5.4,0.000681,2.1,2.1,-9.04,3,8948,1031,0.99562,0.000684,940.473613,954.687469,938.369098,950.671969,11.546,4280.0,4.65749,0.0002,0.0,1216.01
2,2,dn,141527965,0.561686,1325.601557,1.9e-5,0.059539,0.000139,6.619542,2.072503,2.438238,0.67,0.635812,0.97,7.14,-3.68,1.87,5.6,0.00067,2.2,2.2,-3.68,3,9666,1021,0.999095,0.000671,986.427161,1000.491065,989.676571,995.224914,11.546,4280.0,4.65749,0.0,0.0,1216.01
0,5,dc,141527965,52.339239,1361.356687,2.2e-5,0.340205,0.000618,6.722965,0.789043,0.854449,0.67,0.635812,1.51,53.87,25.31,13.66,7.4,0.000707,2.0,2.2,13.66,44,9996,59,1.002008,0.000705,81.388026,139.332069,110.77448,99.126465,11.546,4280.0,4.65749,0.003383333333333333,0.0,1216.01
0,5,dn,141527965,122.087108,1411.235401,5.5e-5,0.427305,0.001849,8.846099,3.28605,4.869547,0.67,0.635812,33.4,1355.21,1364.77,1366.74,12.9,0.000755,6.8,6.0,1355.21,104,9773,10,1.045113,0.000723,166.983499,1524.492302,1534.052445,1536.027642,11.546,4280.0,4.65749,0.019761507936507938,0.0,1216.01
1,5,dn,141527965,51.86213,1361.445751,4.0e-5,0.181517,0.000659,5.10086,-0.14294,-0.102917,0.67,0.635812,22.21,135.53,50.59,53.81,11.0,0.000717,3.7,4.1,50.59,42,9742,33,1.036805,0.000692,621.829798,760.853721,675.916547,679.132479,11.546,4280.0,4.65749,0.0015,0.0,1216.01
2,5,dn,141527965,56.919636,1415.975548,2.6e-5,0.256138,0.001137,9.507421,2.168022,2.675686,0.67,0.635812,2.7,70.87,10.06,14.77,8.8,0.000689,2.9,2.9,10.06,47,9687,35,1.003684,0.000686,81.057125,155.481419,94.669292,99.381202,11.546,4280.0,4.65749,0.02451230158730159,0.0,1216.01
4,5,dn,141527965,66.485006,1347.169051,2.2e-5,0.299183,0.000755,7.890428,0.773124,1.143973,0.67,0.635812,1.09,58.66,11.8,2.14,8.0,0.000677,2.9,2.9,2.14,57,9573,51,0.999184,0.000677,50.049737,112.637317,65.781871,56.125985,11.546,4280.0,4.65749,0.06560912698412698,0.0,1216.01
1,2,dn,141608198,119.313526,1490.345251,4.4e-5,0.238627,0.002333,6.889068,-8.64009,1.040229,0.311261,0.330146,19.2,83.68,23.77,-2.23,9.0,0.001074,1.7,1.7,-2.23,296,9850,8,1.006276,0.001067,57.614237,143.373957,83.462813,57.465933,12.5395,3264.0,4.89378,0.0020666666666666663,0.0,210.01
3,2,dn,141608198,0.913855,1326.192218,3.4e-5,0.042494,0.000296,6.000227,0.889507,1.797168,0.311261,0.330146,0.98,15.71,-2.41,-1.87,6.0,0.001058,2.7,2.7,-2.41,3,9666,438,0.997091,0.001061,424.69398,446.490067,428.365624,428.909974,12.5395,3264.0,4.89378,0.0,0.0,210.01
3,5,dc,141608198,0.727942,1325.869925,3.3e-5,0.080802,0.000232,6.735809,1.491196,1.510072,0.311261,0.330146,0.94,3.57,-0.85,2.57,5.2,0.001104,1.8,1.9,-0.85,3,9084,805,0.99246,0.001112,751.308299,761.567934,757.146563,760.569373,12.5395,3264.0,4.89378,0.0,0.0,210.01
4,5,dc,141608198,1.827794,1328.031061,3.7e-5,0.064887,0.000396,5.683841,-0.105199,0.724707,0.311261,0.330146,0.91,22.84,2.26,5.5,5.2,0.001109,2.0,2.0,2.26,3,7024,255,0.997633,0.001112,228.692668,257.071714,236.49842,239.73332,12.5395,3264.0,4.89378,0.0,0.0,210.01
0,5,dn,141608198,9.010896,1338.829899,0.00019,0.081098,0.002488,20.133378,13.833906,14.196845,0.311261,0.330146,1.58,447.18,73.96,74.28,20.3,0.001128,10.5,10.2,73.96,45,10007,97,1.00484,0.001122,145.766352,597.521915,224.298966,224.620261,12.5395,3264.0,4.89378,0.971770634920635,0.8850574712643678,210.01
1,5,dn,141608198,137.115221,1472.480358,5.5e-5,0.137115,0.002677,7.684887,-4.987709,0.040742,0.311261,0.330146,0.0,249.81,252.2,253.14,6.2,0.001107,5.9,4.9,249.81,97,9843,5,1.005595,0.001101,69.519681,320.9363,323.324369,324.267163,12.5395,3264.0,4.89378,0.16903293650793652,0.0,210.01
2,5,dn,141608198,171.696715,1452.124967,5.2e-5,0.171697,0.002555,7.023504,-0.778362,-0.19365,0.311261,0.330146,0.0,125.53,127.48,126.42,6.1,0.001092,2.6,2.5,125.53,571,9827,4,1.001438,0.001091,10.305266,137.217045,139.176375,138.108279,12.5395,3264.0,4.89378,0.10348730158730157,0.0,210.01
